date,ticker,direction,shares,price,commission,sales_tax,slippage,total_cost,cash_after
2018-05-07 07:00:00,SBT,BUY,17226500,11.58579,249478.26429375002,0.0,99741.43499998786,249478.26429375002,800167910.3007063
2018-05-17 07:00:00,SBT,SELL,17226500,10.944525,235669.824890625,188535.8599125,94315.0874999791,424205.684803125,988279564.5284032
2018-06-28 07:00:00,VNM,BUY,2372400,83.851905,248662.82427749998,0.0,99415.42199999967,248662.82427749998,789100642.2821257
2018-07-03 07:00:00,VNM,SELL,2372400,81.849055,242723.37260250002,194178.69808200002,97137.91799998474,436902.07068450004,982842438.2934413
2018-08-06 07:00:00,VJC,BUY,1359200,144.76234499999998,245951.22415499997,0.0,98331.32399997872,245951.22415499997,785835507.7452863
2018-10-08 07:00:00,VRE,BUY,6053400,32.11605,243014.12133750002,0.0,97157.06999999938,243014.12133750002,591181196.5539489
2018-10-09 07:00:00,VJC,SELL,1359200,139.700115,237350.49538500005,189880.39630800002,94987.69199999906,427230.8916930001,780634361.9702559
2018-10-22 07:00:00,VRE,SELL,6053400,29.785100000000003,225376.40542500003,180301.12434000004,90195.65999998334,405677.5297650001,960529808.7804909
2018-12-04 07:00:00,VIC,BUY,4343500,45.532754999999995,247214.40167812497,0.0,98836.34249998492,247214.40167812497,762511073.0363128
2018-12-06 07:00:00,VRE,BUY,6146100,31.97598,245659.46334750002,0.0,98214.67799999383,245659.46334750002,565737842.8949653
2018-12-19 07:00:00,STB,BUY,15860900,12.456224999999998,246958.67387812494,0.0,98734.1024999812,246958.67387812494,367923945.1185872
2019-01-02 07:00:00,STB,SELL,15860900,11.994,237794.54325,190235.6346,95165.4000000036,428030.17785,557731549.5407372
2019-01-03 07:00:00,VRE,SELL,6146100,28.105940000000004,215927.39729250004,172741.91783400002,86414.16599998203,388669.3151265001,730084798.0596106
2019-01-03 07:00:00,VIC,SELL,4343500,44.41778,241160.78428750002,192928.62743000002,96512.56999998802,434089.4117175001,922579336.0778931
2019-02-14 07:00:00,STB,BUY,13972800,12.90645,225424.0557,0.0,90124.55999998852,225424.0557,742014667.4621931
2019-02-20 07:00:00,VJC,BUY,1516800,119.80987499999999,227159.523,0.0,90818.39999998637,227159.523,560059889.5391932
2019-02-21 07:00:00,CTG,BUY,19242300,9.464730000000001,227653.96759875002,0.0,91016.07900000663,227653.96759875002,377709061.49259436
2019-03-26 07:00:00,VJC,SELL,1516800,117.31131500000001,222422.25324000002,177937.80259200002,89013.40799999543,400360.05583200004,555246504.0287623
2019-04-04 07:00:00,STB,SELL,13972800,12.29385,214724.3841,171779.50728,85932.7199999983,386503.89138,726639507.4173824
2019-04-24 07:00:00,CTG,SELL,19242300,9.65517,232234.59711375003,185787.67769100002,92940.30900000215,418022.27480475005,912009162.8335776
2019-05-14 07:00:00,HPG,BUY,21370300,8.414204999999999,224767.60638937497,0.0,89862.11149997659,224767.60638937497,731970310.1156883
